hash,language,course,text
09f7987f,de,german-bangla,"Ich suche eine Zweizimmerwohnung."
0a076620,de,german-bangla,"bügeln"
0a084f2c,de,german-bangla,"die Halsschmerzen"
0a0db93e,de,german-bangla,"Ich spiele gern Tennis."
0a382a22,de,german-bangla,"Ich würde gern das Schnitzel bestellen."
0a393584,de,german-bangla,"Ich würde gern ein Glas Wasser haben."
0a59f42f,es,spanish-english,"taza"
0b0356a1,de,german-bangla,"Es ist bewölkt"
0b0c0e70,de,german-bangla,"Wenn ich Zeit habe, komme ich."
0b9f247a,de,german-bangla,"Haben Sie ein Zimmer mit Frühstück?"
0bfa9027,de,german-bangla,"Der Döner kommt aus Berlin."
0c339ebd,de,german-bangla,"Kann ich es umtauschen?"
0c943585,de,german-bangla,"der Lebenslauf"
0d00078f,es,spanish-bangla,"bajo, baja"
0d06ef73,es,spanish-bangla,"inteligente"
0d38dd19,de,german-bangla,"Viele Deutsche haben einen Schrebergarten."
0d4629b8,de,german-bangla,"Ich habe Kopfschmerzen"
0da3096c,es,spanish-bangla,"Estoy cansado"
0db0ab9f,de,german-bangla,"Ich habe mich beim Sport verletzt."
0dde7f58,de,german-bangla,"Wie viel"
0e0c6627,de,german-bangla,"Wir essen oft Brot."
0e3ed551,de,german-bangla,"Ich verkleide mich als Pirat."
0ed0d71c,es,spanish-english,"queso"
0f093b8e,de,german-bangla,"Er besucht uns."
0f6626ac,es,spanish-bangla,"Rahim está enfermo."
0f941cf5,de,german-bangla,"Die Blume ist schön."
0f986d23,de,german-bangla,"der Bauch"
0fd47698,de,german-bangla,"zurückgeben"
0fd9bc91,es,spanish-english,"web"
0fe07306,de,german-english,"Name"
10286c54,es,spanish-bangla,"en España"
103e1564,de,german-bangla,"mischen"
1067a09a,es,spanish-bangla,"dieciséis"
109fd4cb,es,spanish-bangla,"Vosotros sois estudiantes."
10aa4f20,de,german-bangla,"das Zelt"
11015c73,de,german-bangla,"Es schneit"
11031e12,es,spanish-english,"día"
111c20aa,es,spanish-bangla,"Perdón, tengo una pregunta. Sí, dime. ¿Cómo se dice ""pizarra"" en bengalí? No sé. ¿Y tú? ¿Cómo se dice en español ""window""? Se dice ""ventana"". ¡Muy bien! Gracias."
111cb94f,de,german-bangla,"Juli"
116a7246,es,spanish-bangla,"Hoy es lunes"
116de3d3,de,german-bangla,"frühstücken"
11758a9f,de,german-bangla,"Das Flugzeug fliegt nach Berlin."
119dd44a,de,german-english,"ü"
12023e65,es,spanish-bangla,"¿Eres estadounidense?"
12691597,es,spanish-english,"padre"
12eaffd3,es,spanish-bangla,"el libro, los libros"
1321150c,de,german-bangla,"vegetarisch"
132b05cf,de,german-bangla,"die Kaltmiete"
13487219,es,spanish-bangla,"tímido, tímida"
135f4095,de,german-bangla,"Das war eine schöne Feier."
137ddc01,de,german-bangla,"die WG"
138bca1a,de,german-bangla,"Es regnet"
13a6c80a,de,german-bangla,"das Fenster"
13baf67c,de,german-bangla,"Ich bin in der Küche."
13d1cb66,de,german-bangla,"das Gehalt"
13dd8193,es,spanish-bangla,"la mochila"
13e0de3f,es,spanish-bangla,"divertido, divertida"
1432d5d1,de,german-bangla,"ö wie in schön"
14886626,es,spanish-bangla,"equis"
148f61dc,de,german-bangla,"die Kasse"
14a2a64d,de,german-bangla,"Das ist nicht interessant."
15478c0c,de,german-bangla,"Ich hoffe, meinen Traum zu verwirklichen."
15b3c9a4,de,german-bangla,"Gehen Sie geradeaus."
1603b8b9,es,spanish-english,"rojo"
161c2fc8,de,german-bangla,"die Versicherung"
165aa8d1,es,spanish-bangla,"la madre"
16a40717,de,german-bangla,"nie"
16e6cfe9,de,german-bangla,"die Marke"
173e576b,de,german-bangla,"das Mittagessen"
17781946,de,german-bangla,"Ich arbeite hart, weil ich erfolgreich sein möchte."
179d3f24,de,german-bangla,"Guten Tag! Wie geht es dir?"
17a5a85a,de,german-bangla,"musste"
17aad894,es,spanish-english,"bueno"
17c773aa,de,german-bangla,"das Einzelzimmer"
17cd5956,de,german-bangla,"manchmal"
17e2c385,de,german-bangla,"war"
1825656d,de,german-bangla,"Das kostet zehn Euro."
18835533,de,german-bangla,"Wie kommst du zur Arbeit?"
18af660e,de,german-bangla,"Kannst du mir helfen?"
19142aa6,de,german-bangla,"Ich brauche ein neues Bett."
194d4c4f,de,german-bangla,"Hast du am Samstag Zeit?"
1955562e,de,german-bangla,"Wer ist das?"
1963b7f6,de,german-bangla,"das Wechselgeld"
199de0e2,de,german-english,"ä"
19b32d37,de,german-bangla,"das Wochenende"
19cd7569,de,german-bangla,"Es passt leider nicht."
1a625fc0,de,german-bangla,"Würdest du gern mit mir essen gehen?"
1b48bcc7,de,german-bangla,"Ich schlafe um elf Uhr ein."
1ba623de,de,german-bangla,"der Maibaum"
1bab8914,es,spanish-bangla,"el padre"
1bf5e2dc,de,german-bangla,"Gut, besser, am besten."
1c136e8d,de,german-bangla,"das Erntedankfest"
1c252a7d,de,german-bangla,"Wo ist die Kasse, bitte?"
1c2a7be8,es,spanish-bangla,"la mesa"
1c60f484,es,spanish-english,"gato"
1c620a35,de,german-bangla,"Ich bewerbe mich um die Stelle."
1c6d2f29,de,german-bangla,"der Mantel"
1c7480b6,es,spanish-bangla,"los exámenes"
1d4e4f01,de,german-bangla,"Es gibt gesetzliche und private Versicherung."
1d6e42f5,de,german-bangla,"Ich konnte nicht schwimmen."
1dc32e38,de,german-bangla,"Straße"
1e1b1734,es,spanish-english,"piso"
1e3f6b4d,de,german-bangla,"die Schule"
1e61fca9,de,german-bangla,"Das ist meine Schwester."
1e630770,de,german-bangla,"Kopfschmerzen"
1e6944bb,de,german-bangla,"schöner als"
1e8953ec,es,spanish-bangla,"quince"
1ed5c305,de,german-bangla,"Wir lernen seit der Kindheit Deutsch."
1f15ee2e,de,german-bangla,"die Erkältung"
1f24eb84,de,german-bangla,"der Marktplatz"
1f5ff91e,de,german-bangla,"Ich trage ein blaues Hemd."
1f8192bf,de,german-bangla,"Ich will nach Berlin reisen."
1fe132ed,de,german-bangla,"lila"
202e78cd,de,german-bangla,"treffen"
2084d254,de,german-bangla,"Ich lade dich zu meiner Party ein."
20e4569d,de,german-bangla,"Wir gehen zum Konzert."
216ba58a,de,german-bangla,"der Fußball"
2187f755,de,german-bangla,"hundert"
2195959c,de,german-bangla,"Wie heißt du?"
21dd7181,de,german-bangla,"das Gramm"
22246667,de,german-bangla,"Es schneit."
226d4a7c,de,german-bangla,"leider"
227037c2,de,german-bangla,"Dienstag"
227b7ec7,es,spanish-bangla,"siete"
227f803f,de,german-bangla,"die Torte"
22ba01da,es,spanish-bangla,"también"
230589e3,de,german-bangla,"das Ei"
2311cfba,de,german-bangla,"Ich habe viele Fotos gemacht."
231db208,de,german-bangla,"weh tun"
232d01d2,de,german-bangla,"Tschüss"
239b9952,de,german-bangla,"der Anschluss"
23b8daf9,de,german-bangla,"der Abflug"
23ba6759,de,german-bangla,"der Weihnachtsmarkt"
23e628b5,de,german-bangla,"Ich rufe meine Mutter an."
24b482f7,es,spanish-bangla,"Soy de Bangladés."
24c923dc,de,german-bangla,"Mein Geburtstag ist am dritten M\xe4rz."
24e4525d,de,german-bangla,"sich verletzen"
251b62cc,es,spanish-bangla,"¿Quién eres tú?"
25404aa7,es,spanish-bangla,"eñe"
25726255,de,german-bangla,"die Ausbildung"
259b99f0,es,spanish-bangla,"ahora"
25a5f81f,de,german-bangla,"festlich"
25a9685b,de,german-bangla,"das Obst"
25bc5677,de,german-bangla,"Ich habe Bauchschmerzen"
25d5de0c,de,german-bangla,"Würden Sie mir bitte helfen?"
262f2497,de,german-bangla,"Wir gehen am Samstag zum Konzert."
2635c07e,de,german-bangla,"wichtig"
26b73d3c,de,german-bangla,"Weihnachten ist am 25. Dezember."
27233799,de,german-bangla,"Was möchten Sie trinken?"
2771c70b,de,german-bangla,"Als ich jung war, hatten wir kein Auto."
279557a8,de,german-bangla,"Im Januar ist es kalt."
27e9d5dc,de,german-bangla,"das Sandwich"
27f28a04,de,german-bangla,"das Schwimmen"
285b6ace,de,german-bangla,"Der ICE ist sehr schnell."
28778b69,de,german-bangla,"Das ist nicht gut."
288da5cb,de,german-bangla,"Wie hoch ist die Miete?"
289a5d44,de,german-bangla,"fröhlich"
28ad810a,de,german-bangla,"Ich kaufe einen Stuhl."
290c6b27,de,german-bangla,"Mein Chef ist sehr nett."
292ca53e,es,spanish-bangla,"Argentina, argentino, argentina"
29401628,es,spanish-bangla,"trabajador, trabajadora"
2952255e,de,german-bangla,"das Sofa"
29604555,es,spanish-bangla,"el marido y la esposa"
29decfa1,es,spanish-bangla,"Nosotros somos amigos."
29f3f25d,de,german-bangla,"das Ziel"
2a43ac7d,de,german-bangla,"pünktlich"
2a7bbaaa,de,german-bangla,"Bis bald"
2a7bc3d1,de,german-bangla,"Am Sonntag sind die Geschäfte geschlossen."
2a7c1136,de,german-bangla,"nachhaltige Mode"
2adf23ce,de,german-bangla,"das Silvester"
2ae6e3d8,de,german-bangla,"Wir sind Freunde."
2b318204,de,german-bangla,"der Schrank"
2b4e062d,de,german-bangla,"die Flasche"
2b7d0782,de,german-bangla,"Der Tag der Deutschen Einheit ist im Oktober."
2b811f55,de,german-bangla,"aufmachen"
2b9ab42a,de,german-bangla,"zusagen"
2badd674,de,german-bangla,"Ich steige in den Zug ein."
2bc7d97f,de,german-bangla,"das Training"
2c307c25,de,german-bangla,"die Verkäuferin"
2c7962da,de,german-bangla,"erreichen"
2c81fd7c,es,spanish-bangla,"Soy alta y trabajadora."
2cbc43c1,de,german-bangla,"das Volleyball"
2cdd872c,de,german-bangla,"Ich gebe Ihnen ein Rezept."
2cec2bd6,de,german-bangla,"Ich sage gern zu."
2d112bd1,es,spanish-bangla,"un poco"
2daa0c90,de,german-bangla,"Er wäscht das Geschirr ab."
2dac45c4,de,german-bangla,"Ich habe gestern gekocht."
2db59bcb,de,german-bangla,"reisen"
2de5186e,de,german-bangla,"Wir werden eine neue Wohnung suchen."
2ded7531,de,german-bangla,"Meine Kollegen sind sehr nett."
2e1272d4,de,german-bangla,"Er schwimmt jeden Morgen."
2e2784fd,de,german-bangla,"das Büro"
2e8cf62d,es,spanish-bangla,"los profesores"
2e97c007,de,german-bangla,"Das Auto ist rot."
2eb572be,de,german-bangla,"der Bus"
2ee70c77,es,spanish-bangla,"el hijo, la hija"
2f094205,de,german-bangla,"Sonntag"
2f3658ab,de,german-bangla,"fernsehen"
2fb81621,de,german-bangla,"privat"
2fd153a8,de,german-bangla,"wollte"
303f678a,de,german-bangla,"der Tee"
307e2b45,de,german-bangla,"Wie oft machst du Sport?"
309084b7,de,german-bangla,"Fußball spielen"
30a97377,de,german-bangla,"lecker"
30b996c1,de,german-bangla,"Wann beginnt der Kurs?"
3108877b,de,german-bangla,"Ich bin Arzt."
31127d53,de,german-bangla,"Jeder muss eine Krankenversicherung haben."
313064b1,de,german-bangla,"vorschlagen"
31ca5218,de,german-bangla,"der Schnitzel"
31d7a887,es,spanish-english,"favor"
31e41fde,de,german-bangla,"Wie viele Feiertage gibt es in Deutschland?"
32899d4b,de,german-bangla,"Häuser"
328c714e,de,german-bangla,"Das Mädchen liest."
32d65228,de,german-bangla,"das Ohr"
32d9f936,es,spanish-bangla,"en Bangladés"
32eb4490,es,spanish-bangla,"doce"
32f29db7,es,spanish-bangla,"Hola"
32f78401,de,german-bangla,"der Kollege"
3330683d,es,spanish-bangla,"Ellos son médicos."
3339ce9c,es,spanish-bangla,"los hijos"
334bb4d6,es,spanish-bangla,"ocho"
33726c22,de,german-bangla,"Mein Name ist Müller."
33a7441d,de,german-bangla,"Eine Flasche Milch, bitte."
33b27a10,de,german-bangla,"Wie ist das Wetter?"
33be15b3,de,german-bangla,"dreißig"
33c25b76,de,german-bangla,"die Suppe"
33dc6205,de,german-bangla,"die Post"
3494a010,de,german-bangla,"zum Bahnhof gehen"
34eb72e2,de,german-bangla,"Wie oft sollte ich das einnehmen?"
34ebaac4,de,german-bangla,"die Hoffnung"
35778c3e,de,german-bangla,"die Kerze"
357a45c0,de,german-bangla,"Ich fotografiere gern."
35b9cb20,de,german-bangla,"das Schlafzimmer"
35e61513,de,german-bangla,"der Spiegel"
36006c39,de,german-bangla,"besser"
3667f9f4,de,german-bangla,"Ich fahre durch den Park."
36b13ac5,de,german-bangla,"Schneide die Kartoffeln!"
36fb7114,de,german-bangla,"nachhaltig"
37a4c7d3,de,german-bangla,"seine Schwester"
3817cba6,de,german-bangla,"Das ist f\xfcr dich."
382ba080,de,german-english,"be"
382ba080,es,spanish-bangla,"be"
38b8afab,de,german-bangla,"Ich möchte einen Termin machen."
38cfc96a,de,german-bangla,"Auf Wiedersehen"
391a58f2,de,german-english,"ef"
39282ecf,de,german-bangla,"Wir kaufen eine Bahncard, um Geld zu sparen."
39a41f05,de,german-bangla,"Ich bin... Jahre alt"
39c649b3,de,german-bangla,"der Keller"
39dbbe61,es,spanish-bangla,"la puerta"
3a1a14a5,de,german-bangla,"hatte"
3a5eaaf8,de,german-bangla,"Haben Sie den Kassenbon?"
3a6a2144,de,german-bangla,"der Mund"
3ab69e3f,de,german-bangla,"die Speisekarte"
3ae304eb,de,german-bangla,"sich erholen"
3ae9c904,de,german-bangla,"sich entspannen"
3b17f711,de,german-bangla,"das Fahrrad"
3b6a7beb,es,spanish-bangla,"erre"
3b7b9f57,de,german-bangla,"der ICE"
3b89c3ae,de,german-bangla,"der Mann"
3bbd8d0c,de,german-bangla,"Es sind f\xfcnf Minuten zu Fu\xdf."
3c206dd9,de,german-english,"ge"
3c206dd9,es,spanish-bangla,"ge"
3c434c6c,de,german-bangla,"absagen"
3c453eb2,de,german-english,"te"
3c453eb2,es,spanish-bangla,"te"
3c67ea22,de,german-bangla,"das Gepäck"
3c77ba97,es,spanish-bangla,"¿Cómo se dice?"
3ce324d6,es,spanish-bangla,"Se llama Pedro"
3d2de623,de,german-bangla,"das Angebot"
3d6304e1,de,german-bangla,"Mein Zimmer ist klein."
3d8c3dbd,de,german-bangla,"Woher kommst du?"
3da441ce,es,spanish-bangla,"Tengo una pregunta"
3db4f01f,es,spanish-bangla,"camarero, camarera"
3dde6b08,de,german-bangla,"Ich mag Kaffee."
3ddfdd38,es,spanish-bangla,"los abuelos"
3e1cb24c,es,spanish-bangla,"Soy inteligente."
3e3578d6,de,german-bangla,"Januar"
3eb88e89,de,german-bangla,"Mädchen"
3ef40a7d,de,german-bangla,"Ich denke, dass Schnitzel lecker ist."
3efeb555,es,spanish-bangla,"¿Estás listo para el examen, Diego? Sí, estoy listo. Pero estoy nervioso. ¡Eres muy inteligente! No es un problema. Gracias. ¿Dónde está el profesor? Está en la oficina. Es muy simpático. Sí, es un profesor muy bueno."
3f139f15,de,german-bangla,"Sie macht jeden Tag Yoga."
3f1a6264,de,german-english,"el"
3f3002ff,es,spanish-bangla,"ingeniero, ingeniera"
3f40d796,de,german-bangla,"feiern"
3f5cddcc,de,german-bangla,"Sie hat ein Buch gelesen."
3fb9790a,de,german-bangla,"die Mütze"
3fc04e14,de,german-bangla,"sich fühlen"
401a63f7,de,german-english,"em"
4049a794,de,german-bangla,"Das Auto ist rot und groß."
407a1549,de,german-bangla,"Du solltest dich ausruhen."
40dc8916,de,german-bangla,"ich würde gern"
40f6a5f4,de,german-bangla,"Mein Lieblingsraum ist das Wohnzimmer."
411a658a,de,german-english,"en"
411c5bd5,de,german-bangla,"tanzen"
411fb75e,de,german-bangla,"das Kostüm"
41f233ce,de,german-bangla,"die Banane"
42684b94,de,german-bangla,"ü wie in über"
42948076,de,german-bangla,"Ich hätte gern einen Kaffee, bitte."
429ac5a3,de,german-bangla,"die Tomate"
42ba1c06,de,german-bangla,"regelmäßig"
42f00c13,es,spanish-bangla,"el fin de semana"
4325780a,es,spanish-bangla,"¡Hola, Pedro! ¿Qué tal? Bien, gracias. Ana, ¿eres profesora? Sí, soy profesora. ¿Y tú? ¿Eres estudiante? No, no soy estudiante. Soy médico. ¡Qué bien! Hasta luego. Hasta luego."
43cc24a0,es,spanish-bangla,"India, indio, india"
43d5bc17,de,german-bangla,"das Badezimmer"
43d8fdfa,de,german-bangla,"die Ostern"
445a7434,de,german-bangla,"Mein Traum ist es, Arzt zu werden."
44e8ff87,es,spanish-bangla,"Estamos nerviosos."
45008433,de,german-bangla,"groß"
450e1f0e,de,german-bangla,"rot"
451a6bd6,de,german-english,"er"
452d0e8a,de,german-bangla,"mittel"
45b0d8fe,es,spanish-bangla,"cero"
45b473eb,de,german-bangla,"orange"
461a6d69,de,german-english,"es"
461a6d69,es,spanish-english,"es"
467c5ae1,de,german-bangla,"verlieren"
46802c7e,de,german-bangla,"der Film"
46d06558,de,german-bangla,"Wir haben viele Sehenswürdigkeiten besichtigt."
46e05f18,de,german-bangla,"die Verspätung"
47015b16,es,spanish-bangla,"Carmen, ¿qué hay en tu mochila? Hay un libro, un cuaderno y un bolígrafo. ¿Y tú? Yo tengo un libro también. Es un libro de español. ¡Qué bien! ¿Es interesante el libro? Sí, el libro es muy interesante."
47259ceb,de,german-bangla,"das Auge"
479fdc60,es,spanish-bangla,"una mochila"
47a791d3,es,spanish-bangla,"cuatro"
47ad702c,es,spanish-bangla,"hache"
47ce0ecf,de,german-bangla,"bequemer"
480a2b84,de,german-bangla,"die Wurst"
481ba369,de,german-bangla,"der Rock"
483d02d1,de,german-english,"ka"
483d02d1,es,spanish-bangla,"ka"
484752ca,de,german-bangla,"der Horrorfilm"
489b1d85,de,german-bangla,"Freitag"
48b4b6ca,es,spanish-bangla,"el marido, la esposa"
48c23014,de,german-bangla,"konnte"
48c9708d,de,german-bangla,"Qualität ist wichtig."
48dae55f,de,german-bangla,"Man muss zuerst zum Hausarzt gehen."
48f06534,es,spanish-bangla,"profesor, profesora"
4930b2a6,de,german-bangla,"die Zukunft"
49bcdf5c,de,german-bangla,"die Lampe"
4a47f32e,de,german-bangla,"das Basketball"
4a539996,de,german-bangla,"waschen"
4a6f55ba,de,german-bangla,"Ich würde gern bestellen."
4a6ff432,de,german-bangla,"Das Oktoberfest findet in München statt."
4a734c3c,de,german-bangla,"schwimmen"
4a830fc0,de,german-bangla,"die Nachspeise"
4a95598a,de,german-bangla,"Die Jacke ist zu groß."
4aae2c9a,es,spanish-english,"vaso"
4ab2b172,es,spanish-bangla,"Carmen está en la oficina."
4aca0a0c,de,german-bangla,"anprobieren"
4b261e5a,de,german-bangla,"der Saft"
4b4d78dc,de,german-bangla,"Ich denke, dass deutsches Brot sehr gut ist."
4b9a00d5,es,spanish-bangla,"uve"
4bccc7cc,de,german-bangla,"das Medikament"
4bd4c8fb,de,german-bangla,"Ich bezahle mit Karte."
4be06f42,de,german-bangla,"Herzlichen Glückwunsch zum Geburtstag!"
4c298165,es,spanish-bangla,"cu"
4c4e523e,de,german-english,"pe"
4c4e523e,es,spanish-bangla,"pe"
4c87149b,de,german-bangla,"Was kostet das?"
4cb6e141,de,german-bangla,"die Volksmusik"
4d403535,es,spanish-bangla,"la silla"
4d410073,de,german-bangla,"Der Spiegel hängt an der Wand."
4d41071d,de,german-bangla,"die Nebenkosten"
4e082808,de,german-bangla,"der Park"
4e1f856c,es,spanish-bangla,"Más despacio, por favor"
4e245394,de,german-bangla,"Ich esse einen Apfel."
4e332f31,es,spanish-bangla,"diez"
4e4ef2b1,de,german-bangla,"der Weihnachtsbaum"
4f205f42,de,german-bangla,"rechts"
4fcca8a2,de,german-bangla,"selten"
4fdabb2b,de,german-bangla,"Wann und wo treffen wir uns?"
4fe938fb,de,german-bangla,"Samstag"
4ffed168,de,german-bangla,"anrufen"
509dd31e,de,german-bangla,"Ich spiele seit einem Jahr Tennis."
50d1991d,de,german-bangla,"Was würdest du gern werden?"
51304128,de,german-bangla,"das Frühstück"
514d384f,de,german-bangla,"richtig zwanzig"
5183c8a7,de,german-bangla,"Ich spiele gern Fußball und Tennis."
51b4e76e,es,spanish-bangla,"No entiendo."
51d10b95,de,german-bangla,"die Krankenschwester"
51d4a16f,es,spanish-english,"uno"
51da3768,de,german-bangla,"das Kilo"
51deb496,de,german-bangla,"das Kino"
521664ca,de,german-bangla,"fünf"
52317101,es,spanish-bangla,"Reino Unido, británico, británica"
52782d86,de,german-bangla,"Ich will nach Hause gehen."
52bb03c1,de,german-bangla,"die Brezel"
52f17f90,de,german-bangla,"der Wunsch"
52f1ba34,de,german-bangla,"die Bibliothek"
53017962,de,german-bangla,"Ich möchte dich herzlich einladen."
530957b4,es,spanish-bangla,"No entiendo"
533e0a7d,de,german-bangla,"Die Arbeitswoche beträgt vierzig Stunden."
5385eadc,de,german-bangla,"modisch"
53a13dd3,es,spanish-bangla,"los lápices"
53adc3d1,de,german-bangla,"zu klein"
53bb1309,de,german-bangla,"Wir hatten viel Spaß."
53ff500c,de,german-bangla,"Männer"
5414b460,es,spanish-bangla,"Estoy listo."
5432b27a,de,german-bangla,"Ich brauche etwas gegen Kopfschmerzen."
543549c7,de,german-bangla,"gut"
553a8700,de,german-bangla,"die Vorstellung"
556dac82,de,german-bangla,"der Beitrag"
55821121,de,german-bangla,"das Hauptgericht"
55b09e59,es,spanish-bangla,"Carmen, ¿tienes hermanos? Sí, tengo una hermana. Se llama Lucía. ¿Y tú? Yo tengo dos hermanos y una hermana. ¿Y tus padres? ¿De dónde son? Mis padres son de Bangladés. Mi padre es médico y mi madre es profesora."
55b19906,de,german-bangla,"Ich möchte in bar bezahlen."
55da388e,de,german-bangla,"Freut mich"
55ecd476,es,spanish-bangla,"los libros"
56178baf,de,german-bangla,"die Dosierung"
56182672,de,german-bangla,"kaputt"
562eaccf,es,spanish-bangla,"médico, médica"
566a3eb2,es,spanish-bangla,"Estoy en casa"
568b90fa,de,german-bangla,"schön"
56f5e0b3,de,german-bangla,"gratulieren"
56ff8108,de,german-bangla,"Frisches Obst ist gesund."
573cc10b,de,german-bangla,"passen"
5750949a,de,german-bangla,"Ich esse immer Brötchen."
5765a72b,es,spanish-bangla,"el lápiz"
57884793,es,spanish-bangla,"ele"
578b1233,es,spanish-bangla,"tres"
57a425b5,de,german-bangla,"der Pullover"
57b87134,de,german-bangla,"Ich habe Fieber und Kopfschmerzen."
584e0849,de,german-bangla,"der Ausflug"
585fae43,es,spanish-bangla,"ye"
58675799,de,german-bangla,"die Hochzeit"
58b2aca9,de,german-bangla,"das Weihnachten"
58bfce00,de,german-bangla,"Es passt nicht. Kann ich es umtauschen?"
58debf9b,de,german-bangla,"das Kind"
5944f05f,de,german-bangla,"die Rente"
596f3f76,de,german-bangla,"Ich finde es sehr modisch."
59714378,de,german-bangla,"fotografieren"
5a3cfb99,de,german-bangla,"Es ist sonnig"
5a4396be,de,german-bangla,"Wir öffnen die Geschenke am Heiligabend."
5a63e17e,de,german-bangla,"sein"
5ade0acb,es,spanish-bangla,"¿Qué día es hoy? Hoy es martes. ¿Y mañana? Mañana es miércoles. Gracias. Hasta luego. Hasta luego."
5b329c64,es,spanish-bangla,"Unos libros, unas sillas, los cuadernos."
5b76b0e8,es,spanish-bangla,"la clase"
5b852d9e,de,german-bangla,"Haben Sie die Quittung?"
5bb472b1,de,german-bangla,"Ich bin pünktlich da."
5bd7a475,es,spanish-bangla,"Soy alto y delgado."
5befd129,de,german-bangla,"neu heute Mäuse"
5c00e2f2,de,german-english,"Haus"
5c1ccea2,de,german-english,"de"
5c1ccea2,es,spanish-bangla,"de"
5c299a95,es,spanish-bangla,"ce"
5c3d224d,de,german-english,"ku"
5c3d8ccc,de,german-bangla,"Es war ein toller Urlaub."
5c47afa9,de,german-english,"we"
5cb20d01,de,german-bangla,"Schule schön Schritt"
5cf3da34,es,spanish-bangla,"triste"
5d8dec90,de,german-bangla,"das Pflaster"
5d99e86c,de,german-bangla,"das Gespräch"
5db144a6,de,german-bangla,"Wir haben eine Besprechung um zehn Uhr."
5df69205,de,german-bangla,"die Besprechung"
5e1488d8,de,german-bangla,"die Aufgabe"
5e15f94a,de,german-bangla,"die Reservierung"
5e39928c,de,german-bangla,"der Chef"
5e93ab4c,de,german-bangla,"Wann könnten Sie anfangen?"
5ea46a1b,es,spanish-bangla,"Hoy estoy contento."
5ecbd47c,de,german-bangla,"krank"
5eccac03,es,spanish-bangla,"la profesora"
5f0cfeec,de,german-bangla,"die Eintrittskarte"
5f1b13ad,de,german-bangla,"Diese Jacke ist schöner als jene."
5f5b4ff2,de,german-bangla,"Mittwoch"
5f7c9111,es,spanish-bangla,"Carmen es alta."
5fb3719a,de,german-bangla,"die Apotheke"
603aea02,de,german-english,"ha"
603cb897,es,spanish-bangla,"Perro"
60400dad,de,german-bangla,"An Silvester gibt es Feuerwerk."
60425a01,de,german-bangla,"Sie würden gern"
60440479,de,german-bangla,"Ich spiele gern Fußball mit meinem Verein."
6058a537,de,german-bangla,"grün"
6063eaf0,de,german-bangla,"seit"
6072c974,es,spanish-english,"Hola, me llamo..."
607dd1c5,es,spanish-bangla,"Repita, por favor"
609c9ec1,es,spanish-bangla,"Sofía, ¿cómo te describes? Soy española, soy profesora. Soy alta y delgada. ¿Y cómo eres de personalidad? Soy simpática y trabajadora. Pero hoy estoy un poco cansada y nerviosa. ¿Por qué estás nerviosa? Porque mañana hay un examen importante. Ahora estoy en casa, estudiando."
6148fcba,de,german-bangla,"die Frauen"
6155240e,de,german-bangla,"das Auto"
61e1599b,de,german-bangla,"die K\xfcche"
61e6be1a,es,spanish-bangla,"No"
61f8073b,de,german-bangla,"Wo"
